elo_diff,avg_elo,material_diff_last,material_diff_avg,material_diff_var,ply_count,time_base,time_increment,outcome
24.0,1857.0,-3,-2.5,2.25,50,900.0,0.0,-1
-123.0,1744.5,3,0.0,1.8,27,900.0,7.0,1
-181.0,1761.5,-8,-4.4,9.84,52,900.0,0.0,-1
-72.0,1817.0,14,13.5,5.25,61,900.0,0.0,1
47.0,1701.5,6,7.6,2.04,87,1200.0,5.0,1
-92.0,1817.0,7,6.0,10.2,57,900.0,0.0,1
-170.0,1780.0,-10,-6.1,16.89,102,900.0,0.0,-1
112.0,1817.0,-7,-5.5,2.25,84,900.0,0.0,-1
-100.0,1817.0,-19,-16.6,13.440000000000001,130,900.0,0.0,-1
63.0,1829.5,3,2.5,0.25,70,900.0,0.0,-1
-732.0,1980.0,-14,-7.3,20.009999999999998,52,900.0,0.0,-1
85.0,1834.5,1,1.0,0.0,92,900.0,0.0,-1
67.0,1701.5,0,-0.3,0.8100000000000002,88,1200.0,5.0,-1
731.0,1979.5,7,5.8,6.959999999999999,75,900.0,0.0,1
-304.0,1707.0,-11,-4.3,13.41,77,900.0,0.0,-1
77.0,1828.5,0,4.1,4.090000000000001,126,900.0,0.0,0
300.0,1707.0,6,5.7,0.21000000000000002,145,900.0,0.0,1
401.0,2190.5,3,2.2,1.3599999999999999,57,900.0,0.0,1
-81.0,1828.5,-1,-1.0,0.0,69,900.0,0.0,0
-208.0,1843.0,-11,-11.4,0.24,116,1200.0,5.0,-1
-294.0,1707.0,-10,-10.2,9.16,54,900.0,0.0,-1
-399.0,2190.5,-3,0.3,1.4099999999999997,22,900.0,0.0,-1
260.0,1846.0,8,2.4,5.839999999999999,53,900.0,0.0,1
-74.0,1641.0,3,3.0,0.0,83,900.0,0.0,1
397.0,2190.5,-3,-0.9,2.49,28,900.0,0.0,1
288.0,1707.0,-1,-0.4,0.64,53,900.0,0.0,1
-19.0,1944.5,-3,-2.7,0.21000000000000002,104,2700.0,45.0,-1
-393.0,2190.5,-4,-1.5,3.05,60,900.0,0.0,-1
-17.0,1771.5,5,1.3,3.6100000000000003,62,900.0,0.0,-1
-270.0,1846.0,0,4.3,10.21,130,900.0,0.0,0
-165.0,1764.5,-3,-2.5,0.25,88,900.0,0.0,-1
-575.0,1862.5,-2,-1.3,13.809999999999999,38,900.0,0.0,-1
23.0,1777.5,-25,-30.4,19.44,130,900.0,0.0,-1
77.0,1648.5,14,7.5,14.65,143,900.0,0.0,1
264.0,1846.0,11,7.8,1.36,55,900.0,0.0,1
73.0,1724.5,20,11.1,11.89,35,900.0,0.0,1
256.0,1651.0,-3,1.5,2.25,52,900.0,0.0,-1
-59.0,1724.5,-6,-0.3,4.21,72,900.0,0.0,-1
-41.0,1777.5,5,5.2,0.96,37,900.0,0.0,1
-258.0,1846.0,-5,-0.8,2.7600000000000002,44,900.0,0.0,-1
188.0,1749.0,5,5.0,0.0,104,900.0,10.0,1
91.0,1746.5,11,10.2,5.76,103,900.0,0.0,1
252.0,1846.0,4,3.2,0.15999999999999998,34,900.0,0.0,1
-226.0,1494.0,-12,-3.6,8.64,44,900.0,0.0,-1
-4.0,1764.0,-2,-2.1,0.09,62,900.0,0.0,-1
389.0,2190.5,2,2.3,0.8099999999999999,34,900.0,0.0,1
-41.0,1673.5,-3,-0.3,0.8100000000000002,42,900.0,0.0,-1
428.0,1935.0,1,2.2,1.56,35,900.0,0.0,1
-385.0,2190.5,-11,-5.2,7.360000000000001,74,900.0,0.0,-1
-426.0,1935.0,-3,-2.5,0.85,32,900.0,0.0,-1
38.0,1668.0,14,12.8,10.16,101,900.0,2.0,1
3.0,1785.5,-3,1.2,4.5600000000000005,62,900.0,0.0,-1
-384.0,1916.0,0,-0.3,0.8100000000000002,48,900.0,0.0,-1
380.0,1916.0,14,4.3,13.209999999999999,55,900.0,0.0,1
381.0,2190.5,7,5.3,2.81,59,900.0,0.0,1
-16.0,1671.0,-2,-2.5,2.25,70,900.0,10.0,-1
-22.0,1744.0,-1,-0.1,0.09,24,900.0,0.0,-1
262.0,1515.0,0,-0.3,0.8100000000000002,13,900.0,2.0,1
100.0,1813.0,6,0.9,5.49,31,900.0,0.0,1
13.0,1785.5,-8,-6.0,2.8,44,900.0,0.0,-1
-75.0,1641.5,2,4.6,4.64,109,900.0,0.0,1
-10.0,1666.0,0,-0.8,2.7600000000000002,52,900.0,0.0,-1
-6.0,1666.0,1,-1.2,1.7600000000000002,39,900.0,0.0,1
61.0,1641.5,3,3.0,0.0,79,900.0,0.0,1
80.0,1709.0,6,3.0,5.6,71,900.0,0.0,1
311.0,2178.5,5,2.9,7.6899999999999995,121,900.0,0.0,1
-84.0,1709.0,13,7.3,14.01,89,900.0,0.0,0
-81.0,1641.5,7,6.7,1.41,89,900.0,0.0,1
72.0,1709.0,8,7.9,0.09,79,900.0,0.0,1
15.0,1763.5,1,1.0,0.0,92,900.0,0.0,-1
183.0,1686.5,-5,-3.1,0.49000000000000005,52,900.0,0.0,-1
-58.0,1709.0,4,4.0,0.0,84,900.0,0.0,-1
457.0,1613.5,3,2.8,0.15999999999999998,46,900.0,0.0,1
-155.0,1678.5,10,7.6,13.440000000000001,115,900.0,0.0,1
16.0,1579.0,8,8.2,1.56,59,900.0,0.0,1
60.0,1808.0,11,8.6,13.440000000000001,119,900.0,0.0,1
192.0,1622.0,6,-0.3,18.21,49,900.0,0.0,1
44.0,1709.0,11,11.6,0.24,65,900.0,0.0,1
-46.0,1808.0,0,0.0,0.0,78,900.0,0.0,-1
-401.0,2123.5,-14,-11.1,16.09,128,900.0,0.0,-1
-158.0,1611.0,-1,-0.6,0.8400000000000001,68,900.0,0.0,-1
86.0,1933.0,2,2.6,2.6400000000000006,81,900.0,0.0,1
64.0,1808.0,-4,-3.9,0.09,136,900.0,0.0,-1
-89.0,1791.5,-2,-1.1,1.89,34,900.0,0.0,-1
218.0,2215.0,0,-0.1,1.89,65,900.0,0.0,1
-8.0,1988.0,1,0.1,0.6900000000000001,108,900.0,0.0,-1
-271.0,1833.5,-3,-3.1,0.09,72,900.0,0.0,-1
31.0,1669.5,0,0.8,0.36,35,900.0,0.0,1
-42.0,1764.0,9,8.4,0.44000000000000006,129,900.0,0.0,1
-42.0,1629.0,2,1.4,0.24,102,900.0,0.0,1
38.0,1982.0,-2,-4.8,9.16,52,900.0,0.0,-1
110.0,1526.0,-7,-5.7,3.21,93,900.0,0.0,1
121.0,1841.5,-9,-9.0,0.0,174,900.0,0.0,-1
-448.0,1923.0,-4,-2.5,8.25,54,900.0,0.0,-1
353.0,1927.5,4,-1.2,3.1600000000000006,81,900.0,0.0,1
-33.0,1585.5,-14,-13.9,0.09,60,1200.0,0.0,-1
-98.0,1526.0,-6,-5.1,2.4899999999999998,53,900.0,0.0,-1
33.0,1585.5,19,15.0,16.0,123,1200.0,0.0,1
201.0,1562.5,0,0.0,0.0,97,900.0,0.0,1
-296.0,2410.0,-1,-1.0,0.0,80,2700.0,45.0,-1
86.0,1526.0,4,2.6,2.6400000000000006,47,900.0,0.0,1
-187.0,1866.5,-5,-3.7,3.41,57,900.0,0.0,1
-112.0,1716.0,-2,-0.8,0.76,58,900.0,0.0,-1
-12.0,1896.0,3,2.2,0.15999999999999998,105,900.0,15.0,1
-175.0,1605.5,-8,-7.0,0.6,76,900.0,0.0,-1
376.0,2191.0,2,-0.5,2.05,35,900.0,0.0,1
-372.0,2191.0,0,-0.9,7.290000000000001,36,900.0,0.0,-1
-4.0,1896.0,7,1.7,3.81,45,900.0,15.0,1
136.0,1846.0,1,1.3,0.8100000000000002,49,900.0,0.0,1
221.0,1632.5,6,2.4,6.840000000000001,65,900.0,0.0,1
20.0,1776.0,-14,-5.1,10.49,126,900.0,0.0,-1
112.0,1731.0,2,0.5,0.45,55,900.0,0.0,1
592.0,2001.0,-1,-0.4,0.24000000000000005,23,900.0,0.0,1
-136.0,1590.0,-3,-2.9,0.29,68,900.0,0.0,-1
-209.0,2125.5,0,-0.1,0.09,42,900.0,0.0,-1
-54.0,1709.0,-3,-2.1,0.09,54,900.0,0.0,-1
-38.0,1776.0,9,9.0,0.0,129,900.0,0.0,1
-113.0,1615.5,11,4.3,7.209999999999999,57,900.0,0.0,1
148.0,2084.0,-5,-1.0,16.0,134,900.0,0.0,-1
343.0,1648.5,-7,0.5,6.45,62,900.0,7.0,-1
33.0,1960.5,1,0.5,0.25,79,900.0,5.0,1
169.0,1829.5,-16,-15.1,0.09,92,900.0,0.0,-1
213.0,1722.5,0,-0.8,7.56,73,900.0,0.0,1
205.0,1665.5,10,1.8,7.56,47,900.0,0.0,1
-138.0,2084.0,-3,-1.6,4.639999999999999,62,900.0,0.0,-1
104.0,1504.0,-6,-2.2,2.16,38,900.0,0.0,-1
16.0,1682.0,-14,-6.7,6.01,132,900.0,0.0,-1
-12.0,1896.0,2,2.6,0.44000000000000006,101,900.0,15.0,1
-177.0,1743.5,-9,-4.7,4.21,60,900.0,0.0,-1
77.0,1865.5,0,0.0,0.0,140,900.0,0.0,0
160.0,2084.0,-9,-3.4,13.439999999999998,144,900.0,0.0,-1
201.0,1743.5,-9,-7.8,0.76,106,900.0,0.0,-1
-34.0,1682.0,4,4.0,0.0,109,900.0,0.0,1
-263.0,1586.5,-5,-5.0,0.0,142,900.0,0.0,-1
346.0,1652.0,6,6.3,0.21000000000000002,65,900.0,0.0,1
52.0,1682.0,-2,-0.9,0.89,50,900.0,0.0,-1
-150.0,2084.0,0,0.1,0.09,22,900.0,0.0,-1
140.0,2084.0,2,2.0,0.0,53,900.0,0.0,1
-193.0,1743.5,0,0.0,0.0,44,900.0,0.0,-1
-128.0,1662.0,-8,-8.6,0.24,98,900.0,0.0,-1
-130.0,2084.0,-1,-0.1,0.09,14,900.0,0.0,-1
175.0,1638.5,-2,-0.3,1.6099999999999999,32,900.0,0.0,-1
-159.0,1751.5,1,1.0,3.0,45,900.0,7.0,1
118.0,1662.0,8,4.6,6.840000000000001,47,900.0,0.0,1
-52.0,1430.0,-7,-7.0,0.0,42,900.0,0.0,0
-469.0,2699.5,-6,-6.0,0.0,212,900.0,10.0,-1
-126.0,1619.0,-10,-6.9,2.69,84,900.0,0.0,-1
-404.0,1660.0,-5,-2.3,0.8099999999999999,58,900.0,0.0,-1
-106.0,1662.0,-14,-12.5,5.25,168,900.0,0.0,-1
-58.0,1515.0,-8,-6.4,3.04,52,900.0,0.0,-1
-4.0,1896.0,2,-0.7,2.4099999999999997,45,900.0,15.0,1
-58.0,1759.0,-5,-5.0,0.0,122,900.0,0.0,-1
10.0,1569.0,8,3.5,18.65,87,900.0,0.0,1
257.0,1724.5,4,4.4,5.04,62,900.0,0.0,-1
405.0,2029.5,5,5.0,0.0,119,900.0,0.0,1
20.0,1896.0,-1,-0.1,0.09,32,900.0,15.0,-1
311.0,1406.5,-11,-5.5,16.45,43,900.0,10.0,-1
43.0,1759.5,13,2.2,16.160000000000004,33,900.0,0.0,1
-311.0,1406.5,-5,-2.1,11.290000000000001,50,900.0,10.0,-1
192.0,1558.0,4,1.2,0.9599999999999997,63,900.0,0.0,1
199.0,1943.5,2,0.8,2.7600000000000002,31,900.0,0.0,1
307.0,2178.5,3,4.6,6.840000000000001,61,900.0,0.0,1
-582.0,1677.0,0,-0.7,1.01,26,900.0,0.0,-1
-216.0,1558.0,9,0.8,7.56,31,900.0,0.0,1
-107.0,1655.5,-12,-8.1,1.89,80,900.0,0.0,-1
-190.0,1943.0,-7,-2.4,2.4399999999999995,46,900.0,0.0,-1
248.0,1569.0,1,1.0,0.0,100,900.0,0.0,0
-125.0,1796.5,8,8.0,0.0,121,900.0,0.0,1
-80.0,1691.0,-9,-0.9,7.290000000000001,32,900.0,0.0,-1
580.0,1677.0,7,1.9,11.489999999999998,12,900.0,0.0,1
-476.0,2563.0,-1,-3.4,1.44,96,900.0,0.0,-1
-303.0,2178.5,0,0.0,0.0,102,900.0,0.0,-1
-287.0,1575.5,10,10.0,0.0,199,900.0,0.0,1
364.0,2043.0,4,2.1,2.49,36,900.0,0.0,1
671.0,1739.5,26,25.4,1.44,81,1500.0,0.0,1
427.0,1646.5,3,0.6,1.44,23,900.0,0.0,1
55.0,1637.5,-1,-1.7,2.21,142,900.0,0.0,-1
-21.0,1731.5,2,-0.5,1.25,45,900.0,0.0,1
-41.0,1637.5,-4,-1.0,1.4,36,900.0,0.0,-1
-48.0,1689.0,0,2.0,6.4,55,900.0,0.0,-1
311.0,1809.5,11,9.5,7.05,54,900.0,0.0,1
-40.0,1654.0,6,4.4,0.43999999999999995,49,900.0,0.0,1
-5.0,1836.5,-2,-2.9,7.289999999999999,71,900.0,7.0,1
-41.0,1681.5,3,3.0,0.0,74,900.0,0.0,-1
-20.0,1546.0,-15,-14.5,0.25,72,900.0,0.0,-1
-286.0,1859.0,-16,-8.4,35.84,70,900.0,0.0,-1
226.0,1849.0,0,-0.3,0.20999999999999996,53,900.0,0.0,1
-63.0,1696.5,0,0.0,0.0,25,900.0,0.0,1
-261.0,1677.5,-2,-2.0,0.0,159,900.0,0.0,1
-62.0,1534.0,10,6.9,2.69,61,900.0,0.0,1
34.0,1641.0,1,1.0,0.0,77,900.0,0.0,1
-218.0,1849.0,-1,-0.3,0.20999999999999996,33,900.0,0.0,-1
-52.0,1641.0,3,1.3,11.209999999999997,51,900.0,0.0,1
82.0,1534.0,7,7.1,1.89,62,900.0,0.0,-1
38.0,1641.0,3,2.1,5.49,33,900.0,0.0,1
108.0,1695.0,-9,-6.3,17.009999999999998,84,1200.0,5.0,-1
82.0,1707.0,9,1.2,8.16,39,900.0,0.0,1
-284.0,1708.0,-16,-9.5,9.05,66,900.0,0.0,-1
-178.0,1468.0,-16,-15.8,4.16,77,1800.0,0.0,1
-32.0,1529.0,6,6.0,0.0,141,900.0,0.0,1
-102.0,1534.0,9,8.1,1.09,95,900.0,0.0,1
-4.0,1896.0,-6,-3.3,0.8099999999999999,76,900.0,15.0,-1
34.0,1674.0,-7,-2.5,2.25,84,900.0,0.0,-1
20.0,1896.0,-2,0.8,0.9599999999999997,62,900.0,15.0,-1
124.0,1534.0,-14,-9.9,11.89,62,900.0,0.0,-1
-79.0,1478.5,1,0.2,0.16000000000000003,134,900.0,0.0,-1
-112.0,1534.0,3,0.2,2.1599999999999997,40,900.0,0.0,-1
162.0,1466.0,-1,-5.1,7.890000000000001,41,1800.0,0.0,1
